clone_name_sup4,clone_name_sup5,library_name_sra,sample_name_sra,eaw_id,srr_accession,compound,is_parent,sra_batch,spots,bases,size_MB
Stauro--2Res2a,,Stauro--2Res2a,Stauro--2Res2a,EAW161,SRR10985563,staurosporine,False,original,9835003,1957791501,893
Sertraline--20-R5a,,Sertraline--20-R5a,Sertraline--20-R5a,EAW260,SRR10985564,sertraline,False,original,3539655,707931000,340
Sertraline--18-R4a,,Sertraline--18-R4a,Sertraline--18-R4a,EAW259,SRR10985565,sertraline,False,original,2943720,588744000,272
CBR572-4R3a,,CBR572-4R3a,sBUZ572-4-R3a,EAW705,SRR10985566,CBR572,False,original,6063484,1212696800,505
DDD01027481--9_R3a,,DDD01027481--9_R3a,DDD01027481--9_R3a,EAW458,SRR10985567,DDD01027481,False,original,4303506,860701200,434
CBR572-2R3a,,CBR572-2-R3a,sBUZ572-2-R3a,EAW704,SRR10985568,CBR572,False,original,5486013,1097202600,455
CBR572-1R3a,,CBR572-1-R3a,sBUZ572-1-R3a,EAW703,SRR10985569,CBR572,False,original,6815372,1363074400,555
CBR868-5--R2a,,CBR868-5--R2a,sBOK868-5--R2a,EAW265,SRR10985570,CBR868,False,original,8664066,1732813200,865
CBR868-4--R2a,,CBR868-4--R2a,sBOK868-4--R2a,EAW487,SRR10985571,CBR868,False,original,8302101,1660420200,836
CBR868-2--R2a,,CBR868-2--R2a,sBOK868-2--R2a,EAW263,SRR10985572,CBR868,False,original,6384279,1276855800,642
CBR868--8-R5b,,CBR868--8-R5b,sBOK868--8-R5b,EAW299,SRR10985573,CBR868,False,original,3722779,744555800,344
CBR868--7-R5b,,CBR868--7-R5b,sBOK868--7-R5b,EAW298,SRR10985574,CBR868,False,original,3781624,756324800,349
CBR868--15R3a,,CBR868--15R3a,sBOK868--15R3a,EAW317,SRR10985575,CBR868,False,original,5245476,1049095200,425
CBR868--13R3a,,CBR868--13R3a,sBOK868--13R3a,EAW316,SRR10985576,CBR868,False,original,5317013,1063402600,423
CBR868--12R3a,,CBR868--12R3a,sBOK868--12R3a,EAW315,SRR10985577,CBR868,False,original,4228625,845725000,341
DDD01027481--8_R3a,,DDD01027481--8_R3a,DDD01027481--8_R3a,EAW457,SRR10985578,DDD01027481,False,original,5030455,1006091000,513
CBR868--11-R5a,,CBR868--11-R5a,sBOK868--11-R5a,EAW301,SRR10985579,CBR868,False,original,3019684,603936800,285
CBR868--10-R5a,,CBR868--10-R5a,sBOK868--10-R5a,EAW300,SRR10985580,CBR868,False,original,4263713,852742600,391
CBR110--8-R4a,,CBR110-8-R4a,sBNZ110-8-R4a,EAW451,SRR10985581,CBR110,False,original,7344601,1468920200,545
CBR110--7-R4a,,CBR110-7-R4a,sBNZ110-7-R4a,EAW450,SRR10985582,CBR110,False,original,5961117,1192223400,439
CBR110--5-R4a,,CBR110-5-R4a,sBNZ110-5-R4a,EAW449,SRR10985583,CBR110,False,original,7619005,1523801000,568
CBR110--2-R4a,,CBR110-2-R4a,sBNZ110-2-R4a,EAW448,SRR10985584,CBR110,False,original,4863906,972781200,364
CBR110-15R3a,CBR110-15R3a,CBR110-15-R3a,sBNZ110-15-R3a,EAW744,SRR10985585,CBR110,False,original,6280120,1256024000,518
CBR110-14R3a,,CBR110-14-R3a,sBNZ110-14-R3a,EAW743,SRR10985586,CBR110,False,original,3985014,797002800,334
CBR110-13R3a,,CBR110-13-R3a,sBNZ110-13-R3a,EAW742,SRR10985587,CBR110,False,original,4090203,818040600,338
CBR110-12R3a,,CBR110-12-R3a,sBNZ110-12-R3a,EAW741,SRR10985588,CBR110,False,original,4434838,886967600,370
DDD01027481--12_R3a,,DDD01027481--12_R3a,DDD01027481--12_R3a,EAW460,SRR10985589,DDD01027481,False,original,5159642,1031928400,519
CBR110-11R3a,,CBR110-11-R3a,sBNZ110-11-R3a,EAW740,SRR10985590,CBR110,False,original,4906726,981345200,414
CBR110--10-R4a,,CBR110-10-R4a,sBNZ110-10-R4a,EAW452,SRR10985591,CBR110,False,original,6705983,1341196600,497
CBR110--1-R4a,,CBR110-1-R4a,sBNZ110-1-R4a,EAW447,SRR10985592,CBR110,False,original,5384664,1076932800,396
CBR110-16R3a,,CBR110-16-R3a,sBNZ-110-16-R3a,EAW745,SRR10985593,CBR110,False,original,3850399,770079800,321
CBR668--24-R4a,,CBR668--24-R4a,sBMP668--24-R4a,EAW427,SRR10985594,CBR668,False,original,4334547,866909400,322
CBR668--23-R4a,,CBR668--23-R4a,sBMP668--23-R4a,EAW426,SRR10985595,CBR668,False,original,4466548,893309600,333
CBR668--22-R4a,,CBR668--22-R4a,sBMP668--22-R4a,EAW425,SRR10985596,CBR668,False,original,4423929,884785800,327
CBR668--21-R4a,,CBR668--21-R4a,sBMP668--21-R4a,EAW424,SRR10985597,CBR668,False,original,4747157,949431400,364
CBR668--7-R3b,,CBR668--7-R3b,sBMP668--7-R3b,EAW215,SRR10985598,CBR668,False,original,3456773,691354600,328
CBR668--5-R3b,,CBR668--5-R3b,sBMP668--5-R3b,EAW214,SRR10985599,CBR668,False,original,3232250,646450000,305
DDD01027481--11_R3a,,DDD01027481--11_R3a,DDD01027481--11_R3a,EAW459,SRR10985600,DDD01027481,False,original,5329282,1065856400,537
Amitriptyline--p1R3b,,Amitriptyline--p1R3b,Amitriptyline--p1R3b,EAW481,SRR10985601,amitriptyline,False,original,3152366,630473200,310
CBR668--4-R3a,,CBR668--4-R3a,sBMP668--4-R3a,EAW224,SRR10985602,CBR668,False,original,3052468,610493600,290
CBR668--3-R3a,,CBR668--3-R3a,sBMP668--3-R3a,EAW225,SRR10985603,CBR668,False,original,2718084,543616800,264
CBR668--2-R3b,,CBR668--2-R3b,sBMP668--2-R3b,EAW224,SRR10985604,CBR668,False,original,2935491,587098200,291
CBR668--1-R3b,,CBR668--1-R3b,sBMP668--1-R3b,EAW223,SRR10985605,CBR668,False,original,2875937,575187400,271
CBR113--8-R4a,,CBR113--8-R4a,sBMH113--8-R4a,EAW440,SRR10985606,CBR113,False,original,6143997,1228799400,461
CBR113--7-R4a,CBR113-7R4a,CBR113--7-R4a,sBMH113--7-R4a,EAW439,SRR10985607,CBR113,False,original,6694045,1338809000,492
CBR113--6-R4a,,CBR113--6-R4a,sBMH113--6-R4a,EAW438,SRR10985608,CBR113,False,original,6661025,1332205000,498
CBR113--3-R4a,,CBR113--3-R4a,sBMH113--3-R4a,EAW437,SRR10985609,CBR113,False,original,5303807,1060761400,388
CBR113--1-R4a,,CBR113--1-R4a,sBMH113--1-R4a,EAW436,SRR10985610,CBR113,False,original,6521307,1304261400,474
CBR499--6R3c,,CBR499--6R3c,sAJH499--6R3c,EAW475,SRR10985611,CBR499,False,original,3747253,749450600,302
CHX--Cy73-2,,CHX--Cy73-2,CHX--Cy73-2,EAW001,SRR10985612,cycloheximide,False,original,3164169,632833800,383
CBR499--5R3c,,CBR499--5R3c,sAJH499--5R3c,EAW308,SRR10985613,CBR499,False,original,4144029,828805800,335
CBR499--4R3c,,CBR499--4R3c,sAJH499--4R3c,EAW307,SRR10985614,CBR499,False,original,3229901,645980200,261
CBR499--2R3c,,CBR499--2R3c,sAJH499--2R3c,EAW306,SRR10985615,CBR499,False,original,3208365,641673000,258
CBR410--5-R2a,,CBR410--5-R2a,sAEA410--5-R2a,EAW431,SRR10985616,CBR410,False,original,5870265,1174053000,437
CBR410--4-R2a,,CBR410--4-R2a,sAEA410--4-R2a,EAW430,SRR10985617,CBR410,False,original,5504909,1100981800,409
CBR410--1-R2a,,CBR410--1-R2a,sAEA410--1-R2a,EAW429,SRR10985618,CBR410,False,original,5535649,1107129800,412
CBR410--17-R5b,,CBR410--17-R5b,sAEA410--17-R5b,EAW255,SRR10985619,CBR410,False,original,2837571,567514200,272
CBR410--16-R5b,,CBR410--16-R5b,sAEA410--16-R5b,EAW254,SRR10985620,CBR410,False,original,3532097,706419400,329
CBR410--15-R5a,,CBR410--15-R5a,sAEA410--15-R5a,EAW253,SRR10985621,CBR410,False,original,3181110,636222000,293
,,CBR--14-R5a,sAEA410--14-R5a,,SRR10985622,,False,original,2573054,514610800,244
Clomipramine--6R2b,,Clomipramine--6R2b,Clomipramine--6R2b,EAW329,SRR10985623,clomipramine,False,original,1952780,390556000,185
Rap--4Res3a,,Rap--4Res3a,Rap--4Res3a,EAW099,SRR10985624,rapamycin,False,original,10129495,2016243229,914
Rap--1Res3a,,Rap--1Res3a,Rap--1Res3a,EAW160,SRR10985625,rapamycin,False,original,9285319,1848245445,848
Poseconazole--R7c-2,,Poseconazole--R7c-2,Poseconazole--R7c-2,EAW087,SRR10985626,posaconazole,False,original,8583087,1716617400,751
Poseconazole--R5c-2,,Poseconazole--R5c-2,Poseconazole--R5c-2,EAW111,SRR10985627,posaconazole,False,original,3458788,691757600,298
Poseconazole--R4d-2,,Poseconazole--R4d-2,Poseconazole--R4d-2,EAW110,SRR10985628,posaconazole,False,original,4668906,933781200,402
Poseconazole--R1d-2,,Poseconazole--R1d-2,Poseconazole--R1d-2,EAW109,SRR10985629,posaconazole,False,original,4874587,974917400,426
MMV667491--R9a-2,,MMV667491--R9a-2,MMV667491--R9a-2,EAW140,SRR10985630,MMV667491,False,original,6791135,1358227000,568
MMV667491--R8a-2,,MMV667491--R8a-2,MMV667491--R8a-2,EAW139,SRR10985631,MMV667491,False,original,8874534,1774906800,744
MMV667491--R7c-2,,MMV667491--R7c-2,MMV667491--R7c-2,EAW506,SRR10985632,MMV667491,False,original,10301637,2060327400,853
MMV667491--R5b-2,,MMV667491--R5b-2,MMV667491--R5b-2,EAW505,SRR10985633,MMV667491,False,original,8038712,1607742400,666
Clomipramine--4R2a,,Clomipramine--4R2a,Clomipramine--4R2a,EAW328,SRR10985634,clomipramine,False,original,2288123,457624600,215
MMV667491--R4b-2,,MMV667491--R4b-2,MMV667491--R4b-2,EAW138,SRR10985635,MMV667491,False,original,7739565,1547913000,647
MMV665909--8R4a,,MMV665909--8R4a,MMV665909--8R4a,EAW303,SRR10985636,MMV665909,False,original,4312447,862489400,347
MMV665909--2R4a,,MMV665909--2R4a,MMV665909--2R4a,EAW302,SRR10985637,MMV665909,False,original,3021585,604317000,252
MMV665882--17_R4b,,MMV665882--17_R4b,MMV665882--17_R4b,EAW256,SRR10985638,MMV665882,False,original,7333699,1466739800,717
MMV665882--16_R4a,,MMV665882--16_R4a,MMV665882--16_R4a,EAW199,SRR10985639,MMV665882,False,original,5473492,1094698400,532
MMV665882--14_R4a,,MMV665882--14_R4a,MMV665882--14_R4a,EAW197,SRR10985640,MMV665882,False,original,6797634,1359526800,666
MMV665882--13_R4a,,MMV665882--13_R4a,MMV665882--13_R4a,EAW196,SRR10985641,MMV665882,False,original,7722016,1544403200,738
MMV665852--18R3b,,MMV665852--18R3b,MMV665852--18R3b,EAW271,SRR10985642,MMV665852,False,original,3338981,667796200,329
MMV665852--17R3a,,MMV665852--17R3a,MMV665852--17R3a,EAW270,SRR10985643,MMV665852,False,original,3833783,766756600,375
MMV665852--16R3b,,MMV665852--16R3b,MMV665852--16R3b,EAW269,SRR10985644,MMV665852,False,original,3405190,681038000,334
Clomipramine--14-R3b,,Clomipramine--14-R3b,Clomipramine--14-R3b,EAW232,SRR10985645,clomipramine,False,original,3100809,620161800,297
MMV665852--15R3a,,MMV665852--15R3a,MMV665852--15R3a,EAW268,SRR10985646,MMV665852,False,original,3769244,753848800,369
MMV665852--13R3b,,MMV665852--13R3b,MMV665852--13R3b,EAW267,SRR10985647,MMV665852,False,original,3140690,628138000,304
MMV665852--R5-2,,MMV665852--R5-2,MMV665852--R5-2,EAW023,SRR10985648,MMV665852,False,original,9391815,1878363000,1104
MMV665852--R4-2,,MMV665852--R4-2,MMV665852--R4-2,EAW022,SRR10985649,MMV665852,False,original,3421186,684237200,407
MMV665852--R2a-2,,MMV665852--R2a-2,MMV665852--R2a-2,EAW021,SRR10985650,MMV665852,False,original,3753030,750606000,444
MMV665852--R1a-2,,MMV665852--R1a-2,MMV665852--R1a-2,EAW020,SRR10985651,MMV665852,False,original,3323033,664606600,393
MMV665852--R39b,,MMV665852--R39b,MMV665852--R39b,EAW352,SRR10985652,MMV665852,False,original,3551349,710269800,359
MMV665852--R37b,,MMV665852--R37b,MMV665852--R37b,EAW346,SRR10985653,MMV665852,False,original,3317533,663506600,339
MMV665852--R312a,,MMV665852--R312a,MMV665852--R312a,EAW347,SRR10985654,MMV665852,False,original,4471681,894336200,450
MMV665807--R5-2,,MMV665807--R5-2,MMV665807--R5-2,EAW019,SRR10985655,MMV665807,False,original,3616471,723294200,426
Clomipramine--11-R3b,,Clomipramine--11-R3b,Clomipramine--11-R3b,EAW229,SRR10985656,clomipramine,False,original,3219571,643914200,298
MMV665807--R4-2,,MMV665807--R4-2,MMV665807--R4-2,EAW018,SRR10985657,MMV665807,False,original,3974707,794941400,471
MMV665807--R3-2,,MMV665807--R3-2,MMV665807--R3-2,EAW017,SRR10985658,MMV665807,False,original,5569313,1113862600,661
MMV665807--R2-2,,MMV665807--R2-2,MMV665807--R2-2,EAW016,SRR10985659,MMV665807,False,original,6685918,1337183600,788
MMV665794--R7-2,,MMV665794--R7-2,MMV665794--R7-2,EAW054,SRR10985660,MMV665794,False,original,7304410,1460882000,836
,,MMV665794--R6-2,MMV665794--R6-2,,SRR10985661,,False,original,5042856,1008571200,579
MMV665794--8R9c,MMV665794-8R9c,MMV665794--8R9c,MMV665794--8R9c,EAW324,SRR10985662,MMV665794,False,original,3510290,702058000,286
MMV665794--7R9c,MMV665794-7R9c,MMV665794--7R9c,MMV665794--7R9c,EAW323,SRR10985663,MMV665794,False,original,4392603,878520600,358
MMV665794--11R9c,MMV665794-11R9c,MMV665794--11R9c,MMV665794--11R9c,EAW957,SRR10985664,MMV665794,False,original,3720532,744106400,301
MMV665794--10R9c,MMV665794-10R9c,MMV665794--10R9c,MMV665794--10R9c,EAW945,SRR10985665,MMV665794,False,original,5141250,1028250000,418
MMV403679--R9-2,,MMV403679--R9-2,MMV403679--R9-2,EAW014,SRR10985666,MMV403679,False,original,3905080,781016000,461
Clomipramine--10-R3b,,Clomipramine--10-R3b,Clomipramine--10-R3b,EAW228,SRR10985667,clomipramine,False,original,3637697,727539400,342
MMV403679--R6-2,,MMV403679--R6-2,MMV403679--R6-2,EAW013,SRR10985668,MMV403679,False,original,5863496,1172699200,693
MMV403679--R5-2,,MMV403679--R5-2,MMV403679--R5-2,EAW012,SRR10985669,MMV403679,False,original,4978527,995705400,585
MMV403679--R4-2,,MMV403679--R4-2,MMV403679--R4-2,EAW005,SRR10985670,MMV403679,False,original,4112145,822429000,492
MMV403679--R3-2,,MMV403679--R3-2,MMV403679--R3-2,EAW015,SRR10985671,MMV403679,False,original,7548204,1509640800,890
MMV403679--9R4a,,MMV403679--9R4a,MMV403679--9R4a,EAW371,SRR10985672,MMV403679,False,original,3537482,707496400,287
MMV403679--8R4a,,MMV403679--8R4a,MMV403679--8R4a,EAW372,SRR10985673,MMV403679,False,original,5784391,1156878200,469
MMV403679--7R4a,,MMV403679--7R4a,MMV403679--7R4a,EAW370,SRR10985674,MMV403679,False,original,3479841,695968200,277
MMV403679--6R4a,,MMV403679--6R4a,MMV403679--6R4a,EAW369,SRR10985675,MMV403679,False,original,5106566,1021313200,406
MMV403679--5R4a,,MMV403679--5R4a,MMV403679--5R4a,EAW368,SRR10985676,MMV403679,False,original,4393315,878663000,352
MMV403679--3R4a,,MMV403679--3R4a,MMV403679--3R4a,EAW367,SRR10985677,MMV403679,False,original,4280131,856026200,350
Carmaphycin--R9-2,,Carmaphycin--R9-2,Carmaphycin--R9-2,EAW131,SRR10985678,carmaphycin B,False,original,12911855,2582371000,1073
MMV403679--2R4a,,MMV403679--2R4a,MMV403679--2R4a,EAW366,SRR10985679,MMV403679,False,original,3531936,706387200,285
MMV396736--R9-2,,MMV396736--R9-2,MMV396736--R9-2,EAW135,SRR10985680,MMV396736,False,original,4434395,886879000,518
MMV396736--R20-2,,MMV396736--R20-2,MMV396736--R20-2,EAW052,SRR10985681,MMV396736,False,original,3971520,794304000,455
MMV396736--R16-2,,MMV396736--R16-2,MMV396736--R16-2,EAW051,SRR10985682,MMV396736,False,original,6207029,1241405800,723
MMV396736--R12-2,,MMV396736--R12-2,MMV396736--R12-2,EAW053,SRR10985683,MMV396736,False,original,5322684,1064536800,622
MMV396736--R10-2,,MMV396736--R10-2,MMV396736--R10-2,EAW050,SRR10985684,MMV396736,False,original,4669004,933800800,545
MMV396736--12Res2a,,MMV396736--12Res2a,MMV396736--12Res2a,EAW157,SRR10985685,MMV396736,False,original,6964633,1386325974,635
MMV306025--R5-2,,MMV306025--R5-2,MMV306025--R5-2,EAW049,SRR10985686,MMV306025,False,original,5585107,1117021400,650
MMV306025--R4-2,,MMV306025--R4-2,MMV306025--R4-2,EAW048,SRR10985687,MMV306025,False,original,3720583,744116600,439
MMV306025--R3-2,,MMV306025--R3-2,MMV306025--R3-2,EAW047,SRR10985688,MMV306025,False,original,3441527,688305400,405
Carmaphycin--R8-2,,Carmaphycin--R8-2,Carmaphycin--R8-2,EAW130,SRR10985689,carmaphycin B,False,original,16187187,3237437400,1341
MMV306025--R2-2,,MMV306025--R2-2,MMV306025--R2-2,EAW046,SRR10985690,MMV306025,False,original,5720239,1144047800,648
MMV306025--R1-2,,MMV306025--R1-2,MMV306025--R1-2,EAW045,SRR10985691,MMV306025,False,original,5786321,1157264200,651
MMV1469689--5-R2a,,MMV1469689-5 R2a,MMV1469689-5 R2a,EAW446,SRR10985692,MMV1469689,False,original,4913134,982626800,364
MMV1469689--4-R2a,,MMV1469689-4 R2a,MMV1469689-4 R2a,EAW445,SRR10985693,MMV1469689,False,original,4614427,922885400,343
MMV1469689--3-R2a,,MMV1469689-3 R2a,MMV1469689-3 R2a,EAW409,SRR10985694,MMV1469689,False,original,4806499,961299800,360
MMV1469689--1-R2a,,MMV1469689-1 R2a,MMV1469689-1 R2a,EAW444,SRR10985695,MMV1469689,False,original,5837632,1167526400,435
MMV1308535-9R3a,,MMV1308535-9 R3a,MMV1308535-9 R3a,EAW750,SRR10985696,MMV1308535,False,original,5562501,1112500200,455
MMV1308535-1R3a,,MMV1308535-1 R3a,MMV1308535-1 R3a,EAW749,SRR10985697,MMV1308535,False,original,4732709,946541800,394
Z46108311--6R2b,,Z46108311--6R2b,Z46108311--6R2b,EAW353,SRR10985698,MMV1214532,False,original,3710361,742072200,382
Z46108311--2R2c,,Z46108311--2R2c,Z46108311--2R2c,EAW173,SRR10985699,MMV1214532,False,original,4001821,800364200,402
Carmaphycin--R7-2,,Carmaphycin--R7-2,Carmaphycin--R7-2,EAW129,SRR10985700,carmaphycin B,False,original,15362686,3072537200,1271
MMV1078458--9_R3a,,MMV1078458--9-R3a,MMV1078458--9-R3a,EAW238,SRR10985701,MMV1078458,False,original,5212525,1042505000,523
MMV1078458--8_R4a,,MMV1078458--8-R4a,MMV1078458--8-R4a,EAW195,SRR10985702,MMV1078458,False,original,5477658,1095531600,548
MMV1078458--7_R3a,,MMV1078458--7-R3a,MMV1078458--7-R3a,EAW194,SRR10985703,MMV1078458,False,original,5117756,1023551200,514
MMV1078458--6R3a,,MMV1078458--6R3a,MMV1078458--6R3a,EAW172,SRR10985704,MMV1078458,False,original,3644098,728819600,374
MMV1078458--5R3a,,MMV1078458--5R3a,MMV1078458--5R3a,EAW171,SRR10985705,MMV1078458,False,original,3395472,679094400,352
MMV1078458--4R3a,,MMV1078458--4R3a,MMV1078458--4R3a,EAW181,SRR10985706,MMV1078458,False,original,5376752,1075350400,445
MMV1078458--2R3a,,MMV1078458--2R3a,MMV1078458--2R3a,EAW170,SRR10985707,MMV1078458,False,original,3394064,678812800,348
MMV1078458--10_R3a,,MMV1078458--10-R3a,MMV1078458--10-R3a,EAW239,SRR10985708,MMV1078458,False,original,5534950,1106990000,544
MMV1028806-1--R1a,,MMV1028806-1--R1a,MMV1028806-1--R1a,EAW244,SRR10985709,MMV1028806,False,original,8133351,1626670200,827
MMV1007245--14_R4b,,MMV1007245--14-R4b,MMV1007245--14-R4b,EAW205,SRR10985710,MMV1007245,False,original,5059628,1011925600,507
Camptothecin--R6b-2,,Camptothecin--R6b-2,Camptothecin--R6b-2,EAW501,SRR10985711,camptothecin,False,original,15231818,3046363600,1263
Amitriptyline--g5R3a,,Amitriptyline--g5R3a,Amitriptyline--g5R3a,EAW242,SRR10985712,amitriptyline,False,original,3005898,601179600,298
MMV1007245--13_R4b,,MMV1007245--13-R4b,MMV1007245--13-R4b,EAW204,SRR10985713,MMV1007245,False,original,4934009,986801800,502
MMV1007245--11_R3b,,MMV1007245--11-R3b,MMV1007245--11-R3b,EAW203,SRR10985714,MMV1007245,False,original,5768653,1153730600,569
MMV085203-24R2b,,MMV085203-24 R2b,MMV085203-24 R2b,EAW713,SRR10985715,MMV085203,False,original,6297405,1259481000,519
MMV085203-21R2b,,MMV085203-21 R2b,MMV085203-21 R2b,EAW710,SRR10985716,MMV085203,False,original,6885674,1377134800,567
MMV085203--7R3a,MMV085203-7R3a,MMV085203--7R3a,MMV085203--7R3a,EAW313,SRR10985717,MMV085203,False,original,3068727,613745400,250
