chromosome,start,end,chr_length,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
II,394119,399108,813184,-0.2692,0.830,-0.3435,0.788,-0.1215,0.919,-0.0002,1.000
II,414075,419064,813184,-0.3185,0.802,-0.2052,0.867,-0.1681,0.890,-0.0561,0.962
II,548774,553763,813184,-0.3395,0.790,-0.1997,0.871,-0.1558,0.898,0.0061,1.004
II,803206,813184,813184,0.4279,1.345,0.2520,1.191,-0.0476,0.968,0.0646,1.046
III,0,10051,316620,0.9591,1.944,0.6179,1.535,0.2879,1.221,0.1551,1.113
III,15077,20102,316620,0.4049,1.324,0.0663,1.047,0.0308,1.022,0.0510,1.036
III,60308,65334,316620,0.3882,1.309,0.2099,1.157,0.1398,1.102,-0.0238,0.984
III,85437,95488,316620,-0.1208,0.920,-0.2417,0.846,-0.1983,0.872,-0.5957,0.662
III,130668,140720,316620,-0.6967,0.617,-0.6762,0.626,-0.6207,0.650,-0.5494,0.683
III,145745,150771,316620,-0.3225,0.800,-0.4777,0.718,-0.3096,0.807,-0.7284,0.604
III,241234,246259,316620,0.3698,1.292,0.1942,1.144,0.2090,1.156,-0.0489,0.967
III,266362,276414,316620,0.4608,1.376,0.1618,1.119,0.2570,1.195,0.0838,1.060
III,286465,301542,316620,0.2722,1.208,0.0641,1.045,-0.0828,0.944,0.0962,1.069
III,306568,316620,316620,0.4808,1.396,0.2911,1.224,-3.4213,0.093,0.0258,1.018
IV,0,15018,1531933,0.5559,1.470,0.3127,1.242,0.0510,1.036,0.1377,1.100
IV,65082,70088,1531933,0.3169,1.246,0.1923,1.143,0.1132,1.082,-0.0578,0.961
IV,280353,285360,1531933,-0.3019,0.811,-0.2035,0.868,-0.2818,0.823,0.0733,1.052
IV,305385,310391,1531933,-0.3102,0.807,-0.1985,0.871,-0.2424,0.845,0.0554,1.039
IV,345435,350442,1531933,-0.3554,0.782,-0.2816,0.823,-0.1700,0.889,0.0600,1.042
IV,380480,385486,1531933,0.2544,1.193,0.1602,1.117,0.3212,1.249,0.0865,1.062
IV,465587,470593,1531933,-3.5136,0.088,-3.4775,0.090,-3.7655,0.074,-3.4489,0.092
IV,505638,520656,1531933,0.1661,1.122,0.0465,1.033,0.0682,1.048,-0.0449,0.969
IV,645814,650821,1531933,0.6918,1.615,0.6320,1.550,0.6980,1.622,0.2729,1.208
IV,720909,730922,1531933,-1.2773,0.413,-1.2099,0.432,-1.3195,0.401,-0.9416,0.521
IV,755953,760960,1531933,0.3329,1.260,0.1246,1.090,0.3078,1.238,0.0140,1.010
IV,831048,836054,1531933,-0.3730,0.772,-0.3252,0.798,-0.3056,0.809,-0.0505,0.966
IV,871099,886118,1531933,0.5194,1.433,0.4008,1.320,0.4833,1.398,0.0966,1.069
IV,891124,896130,1531933,-0.3107,0.806,-0.3008,0.812,-0.2826,0.822,-0.0812,0.945
IV,916156,921162,1531933,-0.4232,0.746,-0.3837,0.766,-0.3193,0.801,-0.0315,0.978
IV,981238,991250,1531933,0.6415,1.560,0.5337,1.448,0.5809,1.496,0.1861,1.138
IV,1096383,1101389,1531933,0.7981,1.739,0.6861,1.609,0.7473,1.679,0.3269,1.254
IV,1206522,1211528,1531933,0.7998,1.741,0.6798,1.602,0.7409,1.671,0.4352,1.352
IV,1236560,1246572,1531933,-0.2913,0.817,-0.2793,0.824,-0.3070,0.808,0.0314,1.022
IV,1276610,1286623,1531933,-1.1133,0.462,-0.9635,0.513,-1.1154,0.462,-0.8618,0.550
IV,1301642,1306648,1531933,-0.3463,0.787,-0.1915,0.876,-0.3474,0.786,-0.0401,0.973
IV,1511907,1531933,1531933,0.6312,1.549,0.4351,1.352,0.4221,1.340,0.3101,1.240
IX,4998,14996,439888,0.3850,1.306,0.2033,1.151,0.0756,1.054,0.0636,1.045
IX,39989,44988,439888,-0.2523,0.840,-0.4106,0.752,-0.4413,0.736,-0.0608,0.959
IX,134965,139964,439888,-0.4076,0.754,-0.2731,0.828,-0.2896,0.818,-0.1159,0.923
IX,144963,149961,439888,-0.3013,0.812,-0.2396,0.847,-0.2071,0.866,0.0287,1.020
IX,174955,179954,439888,-0.3173,0.803,-0.1758,0.885,-0.2006,0.870,-0.0707,0.952
IX,224942,229941,439888,-0.3716,0.773,-0.1645,0.892,-0.1883,0.878,-0.0324,0.978
IX,324917,334914,439888,-0.7430,0.597,-0.7962,0.576,-0.8173,0.568,-0.8276,0.563
IX,389900,394899,439888,0.5036,1.418,0.3014,1.232,0.4411,1.358,0.0498,1.035
IX,399898,404896,439888,0.3585,1.282,0.0401,1.028,0.1771,1.131,0.0707,1.050
IX,424891,439888,439888,0.5302,1.444,0.2696,1.206,0.0408,1.029,0.0322,1.023
VI,0,10005,270161,0.3884,1.309,0.3011,1.232,-0.0911,0.939,0.1762,1.130
VI,25014,35020,270161,0.3458,1.271,0.0412,1.029,0.0682,1.048,-0.0319,0.978
VI,45026,50029,270161,0.4597,1.375,0.1677,1.123,0.2248,1.169,-0.0694,0.953
VI,80047,85050,270161,0.6965,1.621,0.5411,1.455,0.4987,1.413,0.4117,1.330
VI,140083,145086,270161,0.5294,1.443,0.2931,1.225,0.3270,1.254,-0.0782,0.947
VI,160095,165098,270161,0.3463,1.271,0.1625,1.119,0.1424,1.104,0.0225,1.016
VI,190113,200119,270161,0.3789,1.300,0.1350,1.098,0.1191,1.086,-0.0581,0.961
VI,210125,215128,270161,0.3177,1.246,0.1481,1.108,0.1313,1.095,-0.0865,0.942
VI,225134,230137,270161,-0.2913,0.817,-0.3785,0.769,-0.2669,0.831,-0.0307,0.979
VI,235140,240143,270161,0.5335,1.447,0.0575,1.041,0.1982,1.147,0.0202,1.014
VI,250149,270161,270161,0.4314,1.349,0.1658,1.122,-0.0473,0.968,0.0492,1.035
VII,0,10008,1090940,0.6734,1.595,0.3604,1.284,0.0907,1.065,0.0338,1.024
VII,35030,40034,1090940,0.3274,1.255,0.1267,1.092,0.1304,1.095,0.0177,1.012
VII,75064,80068,1090940,0.4162,1.334,0.2553,1.194,0.3236,1.251,-0.1495,0.902
VII,480413,485418,1090940,-0.2017,0.870,-0.3397,0.790,-0.1642,0.892,-0.0022,0.998
VII,490422,495426,1090940,0.3905,1.311,0.1877,1.139,0.3134,1.243,0.0354,1.025
VII,535461,545470,1090940,0.5897,1.505,0.4937,1.408,0.4243,1.342,0.3064,1.237
VII,560482,575495,1090940,0.5421,1.456,0.3917,1.312,0.4446,1.361,0.1098,1.079
VII,710612,715616,1090940,0.3043,1.235,0.2092,1.156,0.2490,1.188,0.0059,1.004
VII,750646,755651,1090940,-0.3308,0.795,-0.2736,0.827,-0.3588,0.780,-0.0140,0.990
VII,810698,825711,1090940,0.4311,1.348,0.3405,1.266,0.3581,1.282,0.0534,1.038
VII,860741,865745,1090940,0.2217,1.166,0.2467,1.186,0.3682,1.291,0.0164,1.011
VII,1050905,1060914,1090940,-0.9516,0.517,-1.1629,0.447,-1.1013,0.466,-0.8754,0.545
VII,1075927,1090940,1090940,0.4324,1.349,0.3339,1.260,0.0956,1.069,0.1619,1.119
VIII,0,9958,562643,0.4174,1.336,0.3501,1.275,-0.3206,0.801,0.0975,1.070
VIII,24895,34853,562643,-0.8044,0.573,-1.0148,0.495,-1.0029,0.499,-0.9308,0.525
VIII,44812,49791,562643,0.3815,1.303,0.1690,1.124,0.1609,1.118,-0.0111,0.992
VIII,154353,159332,562643,-0.4028,0.756,-0.1826,0.881,-0.2018,0.869,0.0143,1.010
VIII,209123,219082,562643,0.8887,1.852,1.1654,2.243,0.8610,1.816,1.7034,3.257
VIII,278831,283811,562643,-0.4087,0.753,-0.1150,0.923,-0.2533,0.839,-0.0461,0.969
VIII,288790,293769,562643,-0.4866,0.714,-0.3259,0.798,-0.3330,0.794,-0.1230,0.918
VIII,318665,323644,562643,-0.3328,0.794,-0.1532,0.899,-0.1992,0.871,-0.0672,0.954
VIII,522809,537747,562643,0.3905,1.311,0.1697,1.125,0.2144,1.160,0.0986,1.071
VIII,542726,547705,562643,0.4382,1.355,0.5049,1.419,0.4956,1.410,0.2594,1.197
VIII,552684,562643,562643,0.7211,1.648,0.5859,1.501,0.1520,1.111,0.3870,1.308
XI,0,15040,666816,0.5353,1.449,0.2962,1.228,0.1023,1.073,0.1215,1.088
XI,30081,35095,666816,0.3497,1.274,0.1472,1.107,0.1517,1.111,0.0239,1.017
XI,65177,70191,666816,-0.3200,0.801,-0.3586,0.780,-0.2935,0.816,-0.1702,0.889
XI,195532,200546,666816,-0.3255,0.798,-0.1303,0.914,-0.2444,0.844,0.0597,1.042
XI,230628,235641,666816,-0.6309,0.646,-0.3839,0.766,-0.4012,0.757,0.0317,1.022
XI,320873,325887,666816,-0.4464,0.734,-0.2909,0.817,-0.2481,0.842,-0.0040,0.997
XI,516406,521420,666816,-0.3798,0.769,-0.2767,0.825,-0.3318,0.795,-0.0386,0.974
XI,611665,616679,666816,-0.3697,0.774,-0.4593,0.727,-0.3465,0.786,0.0789,1.056
XI,646761,666816,666816,-0.2245,0.856,-0.2750,0.826,-0.5442,0.686,-0.4627,0.726
XII,0,14974,1078177,0.6007,1.516,0.6020,1.518,0.1808,1.134,0.3840,1.305
XII,39932,54907,1078177,-0.6868,0.621,-0.8538,0.553,-0.8381,0.559,-0.6961,0.617
XII,114805,124789,1078177,-1.3905,0.381,-1.2549,0.419,-1.3423,0.394,-1.0503,0.483
XII,139763,144755,1078177,-0.4111,0.752,-0.2147,0.862,-0.2694,0.830,0.0179,1.012
XII,214637,219628,1078177,0.4759,1.391,0.4721,1.387,0.5011,1.415,0.0451,1.032
XII,229611,234603,1078177,-0.3560,0.781,-0.2205,0.858,-0.1326,0.912,0.0197,1.014
XII,279527,284518,1078177,-0.3188,0.802,-0.2267,0.855,-0.2344,0.850,-0.0062,0.996
XII,369375,374367,1078177,-0.3383,0.791,-0.2908,0.817,-0.3153,0.804,0.0568,1.040
XII,419291,424282,1078177,-0.3273,0.797,-0.1776,0.884,-0.1937,0.874,0.0193,1.013
XII,449240,494164,1078177,2.4686,5.535,2.5861,6.005,2.5903,6.022,2.8422,7.171
XII,593995,598987,1078177,0.9061,1.874,0.7251,1.653,0.8396,1.790,0.3831,1.304
XII,648902,658885,1078177,0.5734,1.488,0.5306,1.445,0.5542,1.468,0.3076,1.238
XII,668869,673860,1078177,-0.4561,0.729,-0.3294,0.796,-0.4049,0.755,0.0477,1.034
XII,728767,733759,1078177,-0.8300,0.563,-0.7297,0.603,-0.7527,0.593,-0.4981,0.708
XII,803641,808632,1078177,-0.4956,0.709,-0.3290,0.796,-0.3630,0.778,0.0422,1.030
XII,943404,948396,1078177,0.3307,1.258,0.2897,1.222,0.2267,1.170,-0.0360,0.975
XII,978345,983337,1078177,0.4837,1.398,0.3954,1.315,0.3054,1.236,0.0917,1.066
XII,1008295,1013286,1078177,-0.2485,0.842,-0.2224,0.857,-0.3289,0.796,-0.0728,0.951
XII,1058210,1078177,1078177,0.7225,1.650,0.6048,1.521,0.4645,1.380,0.4690,1.384
XIII,0,14990,924431,0.5822,1.497,0.3758,1.298,0.1218,1.088,0.2367,1.178
XIII,19987,24984,924431,0.3202,1.249,0.0483,1.034,0.1203,1.087,0.0257,1.018
XIII,29981,39975,924431,0.3497,1.274,0.0688,1.049,0.1365,1.099,0.0720,1.051
XIII,44972,54966,924431,0.3513,1.276,0.1012,1.073,0.2183,1.163,-0.0072,0.995
XIII,184886,189883,924431,0.8341,1.783,0.7814,1.719,0.8397,1.790,0.4549,1.371
XIII,194880,204873,924431,0.5404,1.454,0.4931,1.407,0.4660,1.381,0.2660,1.202
XIII,319803,324800,924431,0.3315,1.258,0.1796,1.133,0.1869,1.138,-0.0098,0.993
XIII,359778,364775,924431,0.4106,1.329,0.3275,1.255,0.3464,1.271,0.1018,1.073
XIII,374769,379766,924431,0.7525,1.685,0.6426,1.561,0.7250,1.653,0.3623,1.285
XIII,429735,434732,924431,-0.3170,0.803,-0.2708,0.829,-0.3409,0.790,-0.0123,0.992
XIII,804504,809501,924431,0.3445,1.270,0.2502,1.189,0.2422,1.183,0.0581,1.041
XIII,834486,839483,924431,0.4900,1.404,0.3497,1.274,0.2701,1.206,-0.0181,0.988
XIII,904443,914437,924431,0.3382,1.264,0.0988,1.071,0.1043,1.075,0.0693,1.049
XIII,919434,924431,924431,0.6267,1.544,0.4138,1.332,0.0835,1.060,0.0262,1.018
XIV,0,9991,784333,0.3335,1.260,0.4092,1.328,0.1089,1.078,0.2354,1.177
XIV,19983,34970,784333,0.3636,1.287,0.1992,1.148,0.1639,1.120,0.0224,1.016
XIV,94919,104910,784333,0.4182,1.336,0.4150,1.333,0.4294,1.347,0.1918,1.142
XIV,129889,134885,784333,-0.4871,0.713,-0.3243,0.799,-0.3960,0.760,0.0047,1.003
XIV,194834,199830,784333,-0.8545,0.553,-0.3686,0.775,-0.3002,0.812,-0.1177,0.922
XIV,219813,224808,784333,-0.3960,0.760,-0.2417,0.846,-0.2469,0.843,0.0326,1.023
XIV,289753,294749,784333,-0.3227,0.800,-0.2091,0.865,-0.2953,0.815,0.0238,1.017
XIV,389668,394664,784333,-0.3823,0.767,-0.2418,0.846,-0.2235,0.856,0.0342,1.024
XIV,439626,444621,784333,-0.3067,0.808,-0.2379,0.848,-0.1365,0.910,-0.0531,0.964
XIV,519558,524553,784333,0.6042,1.520,0.5380,1.452,0.6450,1.564,0.1828,1.135
XIV,559524,564519,784333,0.3170,1.246,0.1752,1.129,0.3419,1.267,-0.0932,0.937
XIV,649447,654443,784333,-0.3579,0.780,-0.2256,0.855,-0.2639,0.833,-0.0631,0.957
XIV,704400,709396,784333,0.3277,1.255,0.2787,1.213,0.2361,1.178,0.0437,1.031
XIV,724383,734375,784333,0.3987,1.318,0.1713,1.126,0.1480,1.108,-0.0214,0.985
XIV,764349,769345,784333,-2.3177,0.201,-2.4602,0.182,-2.6850,0.156,-2.2764,0.206
XIV,774341,784333,784333,0.7229,1.650,0.4739,1.389,0.0324,1.023,0.0801,1.057
XV,0,30035,1091291,0.5454,1.459,0.2923,1.225,0.1243,1.090,0.0764,1.054
XV,35041,40047,1091291,0.5897,1.505,0.2435,1.184,0.2657,1.202,-0.0157,0.989
XV,45053,50059,1091291,0.2220,1.166,0.0321,1.022,-0.0039,0.997,0.3431,1.268
XV,55065,60071,1091291,0.3669,1.290,0.0858,1.061,0.1922,1.143,-0.0228,0.984
XV,75088,80094,1091291,0.3079,1.238,0.2184,1.163,0.1164,1.084,-0.0377,0.974
XV,90106,95112,1091291,-0.1283,0.915,-0.1376,0.909,-0.3441,0.788,-0.0513,0.965
XV,115136,125148,1091291,0.6154,1.532,0.5121,1.426,0.5548,1.469,0.3611,1.284
XV,155183,160189,1091291,0.2121,1.158,0.2755,1.210,0.2041,1.152,0.5863,1.501
XV,190225,195230,1091291,-0.8573,0.552,-0.9308,0.525,-0.7945,0.577,-0.9914,0.503
XV,345408,355420,1091291,-1.2559,0.419,-1.1779,0.442,-1.4155,0.375,-0.9792,0.507
XV,460544,465550,1091291,-0.2073,0.866,-0.1751,0.886,-0.3470,0.786,0.0000,1.000
XV,475562,480568,1091291,-0.2569,0.837,-0.3167,0.803,-0.2473,0.842,-0.0540,0.963
XV,505598,510604,1091291,-0.3002,0.812,-0.2650,0.832,-0.3144,0.804,-0.1077,0.928
XV,595704,600710,1091291,0.7504,1.682,0.6103,1.527,0.6569,1.577,0.2807,1.215
XV,610722,625740,1091291,-0.7648,0.589,-0.7437,0.597,-0.8435,0.557,-0.7930,0.577
XV,670793,675799,1091291,-0.3140,0.804,-0.3748,0.771,-0.3633,0.777,-0.0542,0.963
XV,705835,715846,1091291,0.0258,1.018,0.0099,1.007,0.0588,1.042,0.0178,1.012
XV,780923,785929,1091291,-0.4085,0.753,-0.3212,0.800,-0.4075,0.754,0.0214,1.015
XV,931101,936107,1091291,-2.7734,0.146,-2.6966,0.154,-3.0911,0.117,-2.7563,0.148
XV,961137,966142,1091291,0.2703,1.206,0.2077,1.155,0.3226,1.251,0.0368,1.026
XV,971148,976154,1091291,0.5978,1.513,0.5048,1.419,0.4992,1.413,0.1205,1.087
XV,986166,991172,1091291,-0.5928,0.663,-0.2830,0.822,-0.4338,0.740,-0.0333,0.977
XV,1021208,1026214,1091291,0.3607,1.284,0.2352,1.177,0.2632,1.200,-0.0584,0.960
XV,1061255,1071267,1091291,0.3444,1.270,0.1178,1.085,0.1657,1.122,-0.0072,0.995
XV,1081279,1091291,1091291,0.8644,1.821,0.7638,1.698,0.7284,1.657,0.6319,1.550
XVI,0,9979,948066,0.4981,1.412,0.4725,1.388,0.3498,1.274,0.2540,1.192
XVI,54888,64867,948066,0.7107,1.637,0.5547,1.469,0.5776,1.492,0.2324,1.175
XVI,134725,139714,948066,-0.3406,0.790,-0.1758,0.885,-0.2435,0.845,-0.0530,0.964
XVI,304379,309368,948066,-0.3134,0.805,-0.2953,0.815,-0.3411,0.789,0.0251,1.018
XVI,394195,399185,948066,-0.3445,0.788,-0.2158,0.861,-0.2745,0.827,0.0141,1.010
XVI,444094,454073,948066,-1.2874,0.410,-1.1910,0.438,-1.3529,0.392,-1.0370,0.487
XVI,733503,738493,948066,-0.3714,0.773,-0.1348,0.911,-0.2073,0.866,0.0893,1.064
XVI,803361,808351,948066,0.4541,1.370,0.3856,1.306,0.4469,1.363,0.1972,1.146
XVI,843279,858249,948066,0.6705,1.592,0.5602,1.474,0.5850,1.500,0.3561,1.280
XVI,903157,908147,948066,0.3145,1.244,0.1363,1.099,0.1927,1.143,-0.0236,0.984
XVI,928106,933096,948066,0.4509,1.367,0.1574,1.115,0.1533,1.112,-0.0535,0.964
XVI,938086,948066,948066,0.6658,1.586,0.6716,1.593,0.3170,1.246,0.4804,1.395
